review,sentiment
"This movie was absolutely fantastic, I loved every moment.",positive
"Super movie",positive
"Super fight scnes",positive
"An amazing storyline with brilliant acting.",positive
"One of the best films I have ever watched.",positive
"Superb direction and great visuals.",positive
"I really enjoyed this movie, highly recommended.",positive
"The film was inspiring and emotionally touching.",positive
"A wonderful cinematic experience.",positive
"This movie exceeded my expectations.",positive
"Brilliant performance by the lead actor.",positive
"An excellent movie with a powerful message.",positive
"This movie was terrible and a complete waste of time.",negative
"I hated the film, it was very boring.",negative
"The acting was awful and the story made no sense.",negative
"One of the worst movies I have ever seen.",negative
"Extremely disappointing and poorly executed.",negative
"The movie was slow and uninteresting.",negative
"Bad screenplay and weak characters.",negative
"I regret watching this movie.",negative
"Terrible direction and horrible acting.",negative
"The plot was confusing and dull.",negative
